"Year","1. Anderson Creek Summer Chum: Natural-Origin Spawners (Prop)","2. Big Beef Creek Summer Chum: Natural-Origin Spawners (Prop)","3. Big Beef Creek Summer Chum: Hatch-Origin Spawners (Prop.)","4. Big/Little Quilcene Summer Chum: Escapement (Proportion)","5. Big/Little Quilcene Summer Chum: Index Hatchery Escapement","6. Big/Little Quilcene Summer Chum: Index Hatchery Escapement","7. Big/Little Quilcene Summer Chum: Index Natural Escapement","8. Big/Little Quilcene Summer Chum: Index Natural Escapement","9. Dewatto Summer Chum: Hatch-Origin Spawners (Prop.)","10. Dewatto Summer Chum: Natural-Origin Spawners (Prop)","11. Dosewallips Summer Chum: Hatch-Origin Spawners (Prop.)","12. Dosewallips Summer Chum: Natural-Origin Spawners (Prop)","13. Duckabush Summer Chum: Hatch-Origin Spawners (Prop.)","14. Duckabush Summer Chum: Natural-Origin Spawners (Prop)","15. Finch Creek Summer Chum: Escapement (Proportion)","16. Hamma Hamma Summer Chum: Hatch-Origin Spawners (Prop.)","17. Hamma Hamma Summer Chum: Natural-Origin Spawners (Prop)","18. Lilliwaup Creek Summer Chum: Hatch-Origin Spawners (Prop.)","19. Lilliwaup Creek Summer Chum: Natural-Origin Spawners (Prop)","20. Skokomish Summer Chum: Hatch-Origin Spawners (Prop.)","21. Skokomish Summer Chum: Natural-Origin Spawners (Prop)","22. Tahuya Summer Chum: Hatch-Origin Spawners (Prop.)","23. Tahuya Summer Chum: Natural-Origin Spawners (Prop)","24. Union Summer Chum: Index Hatchery Escapement","25. Union Summer Chum: Index Natural Escapement"
"1953","","","","","","","","","","","","","","","755","","","","","","","","","",""
"1954","","","","","","","","","","","","","","","924","","","","","","","","","",""
"1955","","","","","","","","","","","","","","","608","","","","","","","","","",""
"1956","","","","","","","","","","","","","","","96","","","","","","","","","",""
"1957","","","","","","","","","","","","","","","107","","","","","","","","","",""
"1958","","","","","","","","","","","","","","","793","","","","","","","","","",""
"1959","","","","","","","","","","","","","","","1,415","","","","","","","","","",""
"1960","","","","","","","","","","","","","","","252","","","","","","","","","",""
"1961","","","","","","","","","","","","","","","321","","","","","","","","","",""
"1962","","","","","","","","","","","","","","","373","","","","","","","","","",""
"1963","","","","","","","","","","","","","","","74","","","","","","","","","",""
"1964","","","","","","","","","","","","","","","180","","","","","","","","","",""
"1965","","","","","","","","","","","","","","","192","","","","","","","","","",""
"1966","","","","","","","","","","","","","","","151","","","","","","","","","",""
"1967","","","","","","","","","","","","","","","52","","","","","","","","","",""
"1968","","100","","6,694","","","","","","2,275","","","","4,693","20","","13,548","","","","","","","",""
"1969","","100","","1,307","","","","","","280","","","","3,802","0","","3,104","","","","","","","",""
"1970","65","178","","667","","","","","","2,666","","","","2,301","10","","1,390","","","","","","","",""
"1971","125","159","","1,869","","","","","","2,012","","","","3,904","8","","4,282","","318","","","","","",""
"1972","225","177","","2,367","","","","","","1,403","","1,733","","13,546","10","","5,346","","716","","","","4,487","",""
"1973","","244","","3,345","","","","","","691","","623","","5,761","12","","","","","","","","","",""
"1974","0","75","","","","","795","44","","181","","3,593","","3,581","0","","2,448","","616","","","","880","","68"
