ProjectNumber,ProjectType,ProjectName,CurrentStatus,TotalAcres,WetlandAcres,RiparianAcres,UplandAcres,TidelandAcres,LakeAcres,LandCost,OtherAcqCost,FishScreening,FishPassage,InstreamFlow,InstreamHabitat,Riparian,Upland,WaterQuality,Wetland,Estuarine,Stewardship,GeneralRst,OtherRstCost
07-1631,Restoration,Skokomish Estuary Island Restoration,Closed Completed,,,,,,,,,,,,,,,,,"$2,800,000.00",,"$1,925,424.00","$48,552.00"
07-1632,Acquisition & Restoration,Salmon Estuary Wood Waste Removal and Restoration,Closed Completed,6.51,,,2,4.51,,"$86,000.00","$37,704.00",,,,,"$122,441.00",,,,"$186,427.00","$32,665.00","$86,743.00","$77,916.00"
07-1636,Restoration,Duckabush Robinson Road Levee Removal,Closed Completed,,,,,,,,,,,,,,,,,"$56,491.00",,"$57,359.00","$53,251.00"
07-1638,Restoration,Snow/Salmon Cr. 2007 Riparian Project,Closed Completed,,,,,,,,,,,,,"$116,312.00",,,,,,,"$20,180.00"
07-1640,Acquisition,Quilcene Bay Conservation - Ward,Closed Completed,80,,,,80,,"$334,400.00","$5,466.00",,,,,,,,,,,,
07-1641,Restoration,Five Mile Creek LWD,Closed Completed,,,,,,,,,,,,"$22,601.00",,,,,,,,"$1,024.00"
07-1644,Planning,"Skokomish River GI, Phase 2 and 3",Closed Completed,,,,,,,,,,,,,,,,,,,,
07-1650,Acquisition,Port Townsend Bay Shoreline/Nearshore Acquisition,Closed Completed,223.46,,,178.46,45,,"$3,073,787.00","$17,302.00",,,,,,,,,,,,
07-1657,Restoration,SF Skokomish River LWD Enhancement Project Phase 2,Closed Completed,,,,,,,,,,,,"$383,728.00",$-,,,,,,,$-
07-1659,Planning,Vance River Reach Assessment,Active Completed,,,,,,,,,,,,,,,,,,,,
07-1660,Acquisition & Restoration,Tarboo-Dabob Bay Acquisition and Restoration,Closed Completed,41.82,0,0,10.32,31.5,,"$625,000.00","$43,000.00",,,,,,,,,"$41,763.00",,,"$13,423.00"
07-1717,Acquisition,Chimacum Creek S. Curve,Closed Completed,11.25,,10.5,0.75,,,"$79,175.00","$34,028.00",,,,,,,,,,,,
07-1915,Planning,Dosewallips & Duckabush ELJ Design,Closed Completed,,,,,,,,,,,,,,,,,,,,
07-1916,Restoration,Lower Dosewallips Floodplain & Estuary Restoration,Closed Completed,,,,,,,,,,,,,,,,,"$450,625.00",,,"$225,331.00"
07-1925,Planning,Skokomish Confluence Reach Restoration Design,Closed Completed,,,,,,,,,,,,,,,,,,,,
07-2021,Acquisition,Union River and Bear Creek Headwaters,Closed Completed,258.1,,61.6,196.5,,,"$547,000.00","$57,214.00",,,,,,,,,,,,
07-1729,Planning,Chico Estuary Restoration--Survey Phase,Closed Completed,,,,,,,,,,,,,,,,,,,,
07-1766,Acquisition,Pilot Point Fee Acquisition,Closed Completed,34.5,2.75,,25.75,6,,"$1,980,000.00","$40,754.00",,,,,,,,,,,,
07-1843,Planning,Chico Estuary: Owen Project,Closed Completed,,,,,,,,,,,,,,,,,,,,
07-1880,Restoration,Barker Creek Estuary Culvert Replacement - Phase 2,Closed Completed,,,,,,,,,,"$514,501.00",,,,,,,,,,$-
07-1822,Restoration,Big Cove Restoration,Closed Completed,,,,,,,,,,,,$1.00,"$20,749.00",,,,"$56,000.00",,,"$19,459.00"
07-1829,Acquisition,Goldsborough Creek Habitat Conservation,Closed Completed,40.1,40,,0.1,,,"$126,000.00","$26,386.00",,,,,,,,,,,,
07-1839,Acquisition,Goldsborough Creek Salmon Corridor,Closed Completed,10,,2,8,,,"$481,000.00","$29,144.00",,,,,,,,,,,,
07-1841,Acquisition,Twin Rivers Ranch Acquisition,Closed Completed,125,53,30,28,14,,"$1,234,000.00","$126,404.00",,,,,,,,,,,,
07-1844,Planning,WRIA 14 Beach Seine Project Development,Closed Completed,,,,,,,,,,,,,,,,,,,,
08-1990,Restoration,Big Quilcene River ELJ Restoration Phase 2,Closed Completed,,,,,,,,,,,,"$469,874.00",$-,,,,,,$-,"$135,410.00"
08-2157,Acquisition,Phase 2 Tarboo Bay Land Acquisition,Closed Completed,244.38,5.34,0.67,238.37,,,"$223,490.00","$27,140.00",,,,,,,,,,,,
08-1330,Acquisition,Harstine Island - Scott Acquisition,Closed Completed,104.3,0,0,85.3,19,,"$3,485,000.00","$118,921.00",,,,,,,,,,,,
09-1438,Restoration,Little Quilcene River Delta Cone Removal - Ph 3,Closed Completed,,,,,,,,,,,,,,"$3,200.00",,,"$956,393.00",$1.00,$1.00,"$92,657.00"
09-1610,Acquisition & Restoration,Donovan Creek Acquisition and Restoration - 135,Closed Completed,0,0,,,,,$-,"$62,751.00",,$-,,"$3,462.00",,,,,"$349,464.00",,,"$126,820.00"
09-1630,Acquisition,Mid Hood Canal Dosewallips & Duckabush Acquisition,Closed Completed,18.39,,13.49,4.9,,,"$389,500.00","$118,136.00",,,,,,,,,,,,
09-1633,Acquisition,Big Beef Creek Conservation,Closed Completed,9.82,,4.82,5,,,"$213,000.00","$39,496.00",,,,,,,,,,,,
09-1639,Planning,Union Estuary Johnson Farm Dike Design,Closed Completed,,,,,,,,,,,,,,,,,,,,
09-1665,Restoration,Southern Hood Canal Riparian Enhancement Project,Closed Completed,,,,,,,,,,,,,"$377,680.00",,,,,,$-,"$82,396.00"
09-1668,Planning,Corps General Investigation of Skokomish support,Closed Completed,,,,,,,,,,,,,,,,,,,,
09-1706,Restoration,Big Quilcene ELJ Restoration Phase 1,Closed Completed,,,,,,,,,,$-,,"$292,501.00",$-,,,,$-,,,"$105,461.00"
09-1788,Acquisition & Restoration,Donovan Creek Acquisition,Closed Completed,26.75,,26.75,,,,"$203,500.00","$34,873.00",,,,,"$48,612.00",,,,,,,"$5,726.00"
,,,,,,,,,,,,,,,,,,,,,,,
