ProjectNumber,ProjectName,ProjectType,CurrentStatus,ProgramName,MetricCategory,MetricDetail1,MetricDetail2,MetricDetail3,ProposedAnswer,FinalAnswer,UnitTypeName,Action_MetricLevel,ActionSummary_MetricLevel
07-1631,Skokomish Estuary Island Restoration,R,Closed Comp,PSAR,Site Stewardship Project,Restored land maintained (C.11.c.1),Acres of restored land maintained (C.11.c.2),,0.0,0.0,Acres,Stewardship,Human
07-1631,Skokomish Estuary Island Restoration,R,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
07-1631,Skokomish Estuary Island Restoration,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Beach nourishment (C.9.l.1),Cubic Yards Of Beach Substrate Placed (C.9.l.2),,200,0,Cu Yards,Beach,Shoreline Restoration
07-1631,Skokomish Estuary Island Restoration,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Shoreline armor removal or modification (C.9.k.1),Acres of Shoreline Treated for armor modification/removal (C.9.k.3),,3.0,3.0,Acres,Remove Armor,Shoreline Restoration
07-1631,Skokomish Estuary Island Restoration,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Shoreline armor removal or modification (C.9.k.1),Miles of Shoreline Treated for armor modification/removal (C.9.k.2),,0.20,0.20,Miles,Remove Armor,Shoreline Restoration
07-1631,Skokomish Estuary Island Restoration,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Channel modification (C.9.c.1),Yards of Channel Modified/Created (C.9.c.2),,1200,1200,Yards,Channel Connectivity,Habitat
07-1631,Skokomish Estuary Island Restoration,R,Closed Comp,PSAR,Cultural Resources,Cultural resources,Cultural resource work completed,,0,1,Number,Cultural,Human
07-1631,Skokomish Estuary Island Restoration,R,Closed Comp,PSAR,Cultural Resources,Cultural resources,Cultural resource work completed,,0,13,Number,Cultural,Human
07-1631,Skokomish Estuary Island Restoration,R,Closed Comp,PSAR,General restoration activities,Restoration signs,Number of signs installed,,5,1,Number,Infrastructure,Human
07-1631,Skokomish Estuary Island Restoration,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Tidegate alteration / removal (C.9.e.1),Acres opened To Fish Passage through tidegate alteration/removal (C.9.e.3),,150.0,150.0,Acres,Remove Tidegate,Fish Passage
07-1631,Skokomish Estuary Island Restoration,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Dike Or berm modification / removal (C.9.d.1),Acres of Habitat Made Available To Salmonids through dike or berm modification/removal (C.9.d.3),,150.0,150.0,Acres,Remove Dike,Fish Passage / Flood Protection
07-1631,Skokomish Estuary Island Restoration,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Total Amount Of Estuarine / Nearshore Acres Treated (C.9.b),,,200.0,214.0,Acres,,
07-1631,Skokomish Estuary Island Restoration,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Regrading of slope (C.9.i.1),Acres of Estuary Treated through slope regrading (C.9.i.2),,4.0,4.0,Acres,Slope,Habitat
07-1631,Skokomish Estuary Island Restoration,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Beach nourishment (C.9.l.1),Acres Treated for beach nourishment (C.9.l.4),,0.3,0.0,Acres,Beach,Shoreline Restoration
07-1631,Skokomish Estuary Island Restoration,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Estuarine plant removal / control (C.9.j.1),Acres of Estuary Treated for plant removal/control (C.9.j.3),,200.0,50.0,Acres,Remove Plants Invasive,Waste
07-1631,Skokomish Estuary Island Restoration,R,Closed Comp,PSAR,Cultural Resources,Cultural resources,Acres surveyed for cultural resources,,0.00,1.00,Acres,Cultural,Human
07-1631,Skokomish Estuary Island Restoration,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Dike Or berm modification / removal (C.9.d.1),Miles Of Dikes Removed (C.9.d.2),,1.30,3.00,Miles,Remove Dike,Fish Passage / Flood Protection
07-1631,Skokomish Estuary Island Restoration,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Debris removal (C.9.n.1),Acres Treated for debris removal (C.9.n.2),,0.5,0.5,Acres,Debris,Waste
07-1631,Skokomish Estuary Island Restoration,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Tidegate alteration / removal (C.9.e.1),Number of Tidegates Altered/Removed To Allow Fish Passage (C.9.e.2),,10,10,Number,Remove Tidegate,Fish Passage
07-1631,Skokomish Estuary Island Restoration,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Beach nourishment (C.9.l.1),Miles of Shoreline Treated for beach nourishment (C.9.l.3),,0.10,0.00,Miles,Beach,Shoreline Restoration
07-1631,Skokomish Estuary Island Restoration,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Channel modification (C.9.c.1),Acres of Estuary Treated (C.9.c.3),,80.0,214.0,Acres,Channel Connectivity,Habitat
07-1631,Skokomish Estuary Island Restoration,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Creation of new estuarine area (C.9.q.1),Acres of Estuary Created (C.9.q.2),,0.0,0.0,Acres,Estuary Made / Floodplain Improved,Summary Metric
07-1631,Skokomish Estuary Island Restoration,R,Closed Comp,PSAR,Permits,Obtain permits,Number of permits required for implementation of project,,0,4,Number,Permit,Planning
07-1631,Skokomish Estuary Island Restoration,R,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,10.70,Number,,
07-1632,Salmon Estuary Wood Waste Removal and Restoration,A,Closed Comp,PSAR,Site Stewardship Project,Restored land maintained (C.11.c.1),Acres of restored land maintained (C.11.c.2),,6.7,6.7,Acres,Stewardship,Human
07-1632,Salmon Estuary Wood Waste Removal and Restoration,A,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
07-1632,Salmon Estuary Wood Waste Removal and Restoration,A,Closed Comp,PSAR,Riparian Habitat Project,Total Riparian Miles Streambank Treated (C.5.b.1),,,0.20,0.20,Miles,,
07-1632,Salmon Estuary Wood Waste Removal and Restoration,A,Closed Comp,PSAR,Riparian Habitat Project,Total Riparian Acres Treated (C.5.b.2),,,4.0,4.0,Acres,,
07-1632,Salmon Estuary Wood Waste Removal and Restoration,A,Closed Comp,PSAR,Estuarine / Nearshore Project,Estuarine plant removal / control (C.9.j.1),Acres of Estuary Treated for plant removal/control (C.9.j.3),,1.0,0.0,Acres,Remove Plants Invasive,Waste
07-1632,Salmon Estuary Wood Waste Removal and Restoration,A,Closed Comp,PSAR,General restoration activities,Traffic control,Number of days of traffic control,,0,0,Number,Infrastructure,Human
07-1632,Salmon Estuary Wood Waste Removal and Restoration,A,Closed Comp,PSAR,Incidentals,Survey (Acq),Acres surveyed,,6.70,6.70,Acres,Survey,Assessment
07-1632,Salmon Estuary Wood Waste Removal and Restoration,A,Closed Comp,PSAR,Estuarine / Nearshore Project,Creation of new estuarine area (C.9.q.1),Acres of Estuary Created (C.9.q.2),,0.0,0.0,Acres,Estuary Made / Floodplain Improved,Summary Metric
07-1632,Salmon Estuary Wood Waste Removal and Restoration,A,Closed Comp,PSAR,Estuarine / Nearshore Project,Total Amount Of Estuarine / Nearshore Acres Treated (C.9.b),,,0.0,0.0,Acres,,
07-1632,Salmon Estuary Wood Waste Removal and Restoration,A,Closed Comp,PSAR,Estuarine / Nearshore Project,Regrading of slope (C.9.i.1),Acres of Estuary Treated through slope regrading (C.9.i.2),,5.0,5.0,Acres,Slope,Habitat
07-1632,Salmon Estuary Wood Waste Removal and Restoration,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres zoned as agricultural land,,0.00,0.00,Acres,Land Acquisition Ag,Acquisition
07-1632,Salmon Estuary Wood Waste Removal and Restoration,A,Closed Comp,PSAR,Real Property Acquisition,Project Acres Acquired,,,6.70,6.51,Acres,,
07-1632,Salmon Estuary Wood Waste Removal and Restoration,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,2.00,2.00,Acres,Land Acquisition Fee Simple,Acquisition
07-1632,Salmon Estuary Wood Waste Removal and Restoration,A,Closed Comp,PSAR,Riparian Habitat Project,Planting (C.5.c.1),Acres Planted in riparian (C.5.c.3),,6.0,6.0,Acres,Riparian,Habitat
