ProjectNumberCC,ProjectNumber,ProjectName,ProjectType,ActionCategory,ProjectDetail
2007-1631,07-1631,Skokomish Estuary Island Restoration,Estuarine / Marine Nearshore,Reconnection,Dike Modification / Removal
2007-1632,07-1632,Salmon Estuary Wood Waste Removal and Restoration,Estuarine / Marine Nearshore,,Toxics removal
2007-1636,07-1636,Duckabush Robinson Road Levee Removal,Estuarine / Marine Nearshore,Reconnection,Dike Modification / Removal
2007-1638,07-1638,Snow/Salmon Cr. 2007 Riparian Project,Riparian Improvement,,Riparian Restoration
2007-1640,07-1640,Quilcene Bay Conservation - Ward,Acquisition / Protection,,Acquisition of land
2007-1641,07-1641,Five Mile Creek LWD,In-Stream Habitat Improvement,Habitat complexity,Instream structures
2007-1644,07-1644,"Skokomish River GI, Phase 2 and 3",Planning / Project Development,,
2007-1650,07-1650,Port Townsend Bay Shoreline/Nearshore Acquisition,Acquisition / Protection,,Acquisition of land
2007-1657,07-1657,SF Skokomish River LWD Enhancement Project Phase 2,In-Stream Habitat Improvement,Habitat complexity,Instream structures
2007-1659,07-1659,Vance River Reach Assessment,Planning / Project Development,,
2007-1660,07-1660,Tarboo-Dabob Bay Acquisition and Restoration,Acquisition / Protection,,Bulkhead Removal
2007-1717,07-1717,Chimacum Creek S. Curve,Acquisition / Protection,,Acquisition of land
2007-1915,07-1915,Dosewallips & Duckabush ELJ Design,Planning / Project Development,,
2007-1916,07-1916,Lower Dosewallips Floodplain & Estuary Restoration,Estuarine / Marine Nearshore,,Bulkhead Removal
2007-1925,07-1925,Skokomish Confluence Reach Restoration Design,Planning / Project Development,,
2007-2021,07-2021,Union River and Bear Creek Headwaters,Acquisition / Protection,,Acquisition of land
2007-1729,07-1729,Chico Estuary Restoration--Survey Phase,Planning / Project Development,,
2007-1766,07-1766,Pilot Point Fee Acquisition,Acquisition / Protection,,Acquisition of land
2007-1843,07-1843,Chico Estuary: Owen Project,Planning / Project Development,,
2007-1880,07-1880,Barker Creek Estuary Culvert Replacement - Phase 2,Estuarine / Marine Nearshore,Fish Passage,Culvert removal / repair
2007-1822,07-1822,Big Cove Restoration,Estuarine / Marine Nearshore,,Bulkhead Removal
2007-1829,07-1829,Goldsborough Creek Habitat Conservation,Acquisition / Protection,,Acquisition of land
2007-1839,07-1839,Goldsborough Creek Salmon Corridor,Acquisition / Protection,,Acquisition of land
2007-1841,07-1841,Twin Rivers Ranch Acquisition,Acquisition / Protection,,Acquisition of land
