ProjectYear,ProjectNumberCC,ProjectNumber,ProjectName,ProjectType,CurrentStatus,CongDist,County,HUC,LegDist,WRIA,ProjectLatitude,ProjectLongitude
2007,2007-1631,07-1631,Skokomish Estuary Island Restoration,R,Closed Comp,6,Mason,Skokomish,35,Skokomish-Dosewallips (16),47.33820765,-123.1264259
2007,2007-1632,07-1632,Salmon Estuary Wood Waste Removal and Restoration,A,Closed Comp,6,Jefferson,DUNGENESS/ELWHA,24,Quilcene-Snow (17),47.9903143,-122.8898083
2007,2007-1636,07-1636,Duckabush Robinson Road Levee Removal,R,Closed Comp,6,Jefferson,Hood Canal,24,Skokomish-Dosewallips (16),47.6524864,-122.9300445
2007,2007-1638,07-1638,Snow/Salmon Cr. 2007 Riparian Project,R,Closed Comp,6,Jefferson,DUNGENESS/ELWHA,24,Quilcene-Snow (17),47.98176427,-122.8866164
2007,2007-1640,07-1640,Quilcene Bay Conservation - Ward,A,Closed Comp,6,Jefferson,Hood Canal,24,Quilcene-Snow (17),47.81901586,-122.8629318
2007,2007-1641,07-1641,Five Mile Creek LWD,R,Closed Comp,6,Mason,Skokomish,35,Skokomish-Dosewallips (16),47.31750032,-123.2640312
2007,2007-1644,07-1644,"Skokomish River GI, Phase 2 and 3",P,Closed Comp,6,Mason,Skokomish,35,Skokomish-Dosewallips (16),,
2007,2007-1650,07-1650,Port Townsend Bay Shoreline/Nearshore Acquisition,A,Closed Comp,6,Jefferson,KITSAP,24,Quilcene-Snow (17),48.07948048,-122.7897274
2007,2007-1657,07-1657,SF Skokomish River LWD Enhancement Project Phase 2,R,Closed Comp,6,Mason,Skokomish,35,Skokomish-Dosewallips (16),47.3985616,-123.3101507
2007,2007-1659,07-1659,Vance River Reach Assessment,P,Active Comp,6,Mason,Skokomish,35,Skokomish-Dosewallips (16),47.32947554,-123.3091383
2007,2007-1660,07-1660,Tarboo-Dabob Bay Acquisition and Restoration,A,Closed Comp,6,Jefferson,Hood Canal,24,Quilcene-Snow (17),47.80784774,-122.8177246
2007,2007-1717,07-1717,Chimacum Creek S. Curve,A,Closed Comp,6,Jefferson,KITSAP,24,Quilcene-Snow (17),48.0185837,-122.7719796
2007,2007-1915,07-1915,Dosewallips & Duckabush ELJ Design,P,Closed Comp,6,Jefferson,Hood Canal,24,Skokomish-Dosewallips (16),47.72159702,-123.0010609
2007,2007-1916,07-1916,Lower Dosewallips Floodplain & Estuary Restoration,R,Closed Comp,6,Jefferson,Hood Canal,24,Skokomish-Dosewallips (16),47.68529158,-122.8966308
2007,2007-1925,07-1925,Skokomish Confluence Reach Restoration Design,P,Closed Comp,6,Mason,Skokomish,35,Skokomish-Dosewallips (16),47.31630018,-123.2366249
2007,2007-2021,07-2021,Union River and Bear Creek Headwaters,A,Closed Comp,6,Kitsap,Hood Canal,35,Kitsap (15),47.51057295,-122.8260406
2007,2007-1729,07-1729,Chico Estuary Restoration--Survey Phase,P,Closed Comp,6,Kitsap,KITSAP,35,Kitsap (15),47.60238913,-122.7059575
2007,2007-1766,07-1766,Pilot Point Fee Acquisition,A,Closed Comp,6,Kitsap,KITSAP,23,Kitsap (15),47.88702973,-122.520095
2007,2007-1843,07-1843,Chico Estuary: Owen Project,P,Closed Comp,6,Kitsap,KITSAP,35,Kitsap (15),47.60391281,-122.7067034
2007,2007-1880,07-1880,Barker Creek Estuary Culvert Replacement - Phase 2,R,Closed Comp,6,Kitsap,KITSAP,23,Kitsap (15),47.63790119,-122.6700168
2007,2007-1822,07-1822,Big Cove Restoration,R,Closed Comp,10,Mason,KITSAP,35,Kennedy-Goldsborough (14),47.13439252,-123.0221996
2007,2007-1829,07-1829,Goldsborough Creek Habitat Conservation,A,Closed Comp,6,Mason,KITSAP,35,Kennedy-Goldsborough (14),47.20639711,-123.2206557
2007,2007-1839,07-1839,Goldsborough Creek Salmon Corridor,A,Closed Comp,6,Mason,KITSAP,35,Kennedy-Goldsborough (14),47.20924473,-123.1369512
2007,2007-1841,07-1841,Twin Rivers Ranch Acquisition,A,Closed Comp,6,Mason,KITSAP,35,Kennedy-Goldsborough (14),47.26278385,-123.0153779
2007,2007-1844,07-1844,WRIA 14 Beach Seine Project Development,P,Closed Comp,6,Mason,KITSAP,35,Kennedy-Goldsborough (14),47.19492316,-122.9239892
2008,2008-1990,08-1990,Big Quilcene River ELJ Restoration Phase 2,R,Closed Comp,6,Jefferson,Hood Canal,24,Quilcene-Snow (17),47.81110006,-122.9058166
2008,2008-2157,08-2157,Phase 2 Tarboo Bay Land Acquisition,A,Closed Comp,6,Jefferson,Hood Canal,24,Quilcene-Snow (17),47.85949602,-122.8127088
2008,2008-1330,08-1330,Harstine Island - Scott Acquisition,A,Closed Comp,6,Mason,KITSAP,35,Kennedy-Goldsborough (14),47.24620239,-122.8711273
2009,2009-1438,09-1438,Little Quilcene River Delta Cone Removal - Ph 3,R,Closed Comp,6,Jefferson,Hood Canal,24,Quilcene-Snow (17),47.82534699,-122.8584522
2009,2009-1610,09-1610,Donovan Creek Acquisition and Restoration - 135,A,Closed Comp,6,Jefferson,Hood Canal,24,Quilcene-Snow (17),47.82809081,-122.858745
2009,2009-1630,09-1630,Mid Hood Canal Dosewallips & Duckabush Acquisition,A,Closed Comp,6,Jefferson,Hood Canal,24,Skokomish-Dosewallips (16),47.65615555,-122.9504966
