Name,Status,Id,Cost,Start,End,Organization,Lat,Lon,URL
A. Snow Creek WDFW CREP (Old Andrews),Completed,01-05-003,0,2005-01-01T00:00:00,2015-01-01T00:00:00,Hood Canal Coordinating Council (LE),47.9782,-122.8861,http://waconnect.paladinpanoramic.com/project/170/7243
A. Snow/Salmon Cr. 2007 Riparian Project,Completed,01-05-001,136312,2007-01-01T00:00:00,2012-12-30T00:00:00,Hood Canal Coordinating Council (LE),47.9749,-122.8879,http://waconnect.paladinpanoramic.com/project/170/7241
Skokomish Estuary Restoration Phase 1- Nalley Slough,Completed,10-03-000,1341028,2005-01-01T00:00:00,2007-12-31T00:00:00,Hood Canal Coordinating Council (LE),47.3345,-123.1353,http://waconnect.paladinpanoramic.com/project/170/13404
A.  Big Quilcene Baclawski Reach Analysis and Feasibility Study,Completed,03-01-004,143406,2002-01-01T00:00:00,2005-01-01T00:00:00,Hood Canal Coordinating Council (LE),0,0,http://waconnect.paladinpanoramic.com/project/170/7282
A.  Big Quilcene Estuary South Bank Levee Removal,Conceptual,03-03-011,620000,2013-01-01T00:00:00,2014-12-31T00:00:00,Hood Canal Coordinating Council (LE),47.81882043,-122.8651191,http://waconnect.paladinpanoramic.com/project/170/14573
A.  Big Quilcene River Electric Weir,Conceptual,03-04-000,0,2006-01-01T00:00:00,2015-01-01T00:00:00,Hood Canal Coordinating Council (LE),47.81038635,-122.9126387,http://waconnect.paladinpanoramic.com/project/170/7318
A.  Penny Creek Fish Passage Feasibility Study,Completed,03-04-001,0,2007-08-01T00:00:00,2010-06-01T00:00:00,Hood Canal Coordinating Council (LE),47.81040611,-122.9137045,http://waconnect.paladinpanoramic.com/project/170/7319
A.  Snow Creek Hwy 20 Fee Simple Acquisition,Completed,01-02-010,90000,2010-03-01T00:00:00,2014-06-11T00:00:00,Hood Canal Coordinating Council (LE),47.98800508,-122.884791,http://waconnect.paladinpanoramic.com/project/170/14624
A. Baclawski CREP,Completed,03-05-000,0,2001-01-01T00:00:00,2013-01-01T00:00:00,Hood Canal Coordinating Council (LE),47.8117,-122.9006,http://waconnect.paladinpanoramic.com/project/170/7298
A. Big Quilcene Completed USFS Road Decommissioning,Completed,03-06-000,0,1990-01-01T00:00:00,1990-01-02T00:00:00,Hood Canal Coordinating Council (LE),47.80741402,-123.0132389,http://waconnect.paladinpanoramic.com/project/170/7301
A. Big Quilcene Delta Acquisition,Completed,03-02-001,1187658.73,2011-04-22T00:00:00,2015-04-22T00:00:00,Hood Canal Coordinating Council (LE),47.81828061,-122.8669189,http://waconnect.paladinpanoramic.com/project/170/7267
A. Big Quilcene Delta Cone Removal,Conceptual,03-03-014,2000000,2010-04-30T00:00:00,2015-04-30T00:00:00,Hood Canal Coordinating Council (LE),47.81887809,-122.8614047,http://waconnect.paladinpanoramic.com/project/170/14747
A. Big Quilcene Delta Cone Removal- Design,Conceptual,03-03-013,168464,2010-04-30T00:00:00,2012-12-31T00:00:00,Hood Canal Coordinating Council (LE),47.81883488,-122.8603271,http://waconnect.paladinpanoramic.com/project/170/14733
A. Big Quilcene ELJ Pilot Project,Completed,03-01-005,0,2002-01-01T00:00:00,2005-01-01T00:00:00,Hood Canal Coordinating Council (LE),47.81141147,-122.9003315,http://waconnect.paladinpanoramic.com/project/170/7283
A. Big Quilcene ELJ Restoration Phase 1,Completed,03-01-006,372838,2004-01-01T00:00:00,2010-01-01T00:00:00,Hood Canal Coordinating Council (LE),47.81115227,-122.906341,http://waconnect.paladinpanoramic.com/project/170/7284
A. Big Quilcene ELJ Restoration Phase 2,Completed,03-01-007,587680,2007-01-01T00:00:00,2011-08-29T00:00:00,Hood Canal Coordinating Council (LE),47.81191271,-122.8983164,http://waconnect.paladinpanoramic.com/project/170/7285
A. Big Quilcene ELJ Restoration Phase 3,Dormant,03-01-008,323596.08,2011-12-16T00:00:00,2013-04-26T00:00:00,Hood Canal Coordinating Council (LE),47.81089511,-122.9022823,http://waconnect.paladinpanoramic.com/project/170/7286
A. Big Quilcene Lower Mainstem Levee Removal Phase 1,Completed,03-03-007,0,1998-01-01T00:00:00,1999-01-01T00:00:00,Hood Canal Coordinating Council (LE),47.81923401,-122.8653305,http://waconnect.paladinpanoramic.com/project/170/7315
A. Big Quilcene Lower Mainstem Levee Removal Phase 2,Completed,03-03-008,170393,2002-01-01T00:00:00,2006-01-01T00:00:00,Hood Canal Coordinating Council (LE),47.8188,-122.8611,http://waconnect.paladinpanoramic.com/project/170/7316
A. Big Quilcene Lower Mainstem Levee Removal Phase 3,Conceptual,03-03-009,0,2014-01-01T00:00:00,2017-01-01T00:00:00,Hood Canal Coordinating Council (LE),47.81930036,-122.869729,http://waconnect.paladinpanoramic.com/project/170/7317
