"Location_ID","Location_Name","Location_Setting","Location_Description","Ecology_Facility_Site_ID","Is_Location_a_Well","Address","City","State","Zip_Code","County","Watershed_WRIA","Ecology_Region","US_Congressional_District","State_Legislative_District","NHD_Reach_Code","NHD_Reach_Measure","NHD_Edit_Date","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Horizontal_Coordinates_Represent","Horizontal_Coordinate_Accuracy","Horizontal_Coordinate_Collection_Method","Paper_Map_Scale","Township_Number","Township_Direction","Range_Number","Range_Direction","Section_Number","Quarter_Section_Township_Range","Quarter_Quarter_Section_Township_Range","Elevation_of","Elevation","Elevation_Units","Elevation_Datum","Elevation_Accuracy","Elevation_Collecton_Method","Sediment_Elevation_Elevation_Reference","Location_Suspect_or_Rejected_Flag","Location_Suspect_Code","Location_Suspect_Description","Location_ID_Alias","Associated_Study_ID","Record_Created_On","Location_System_ID"
"14-KENN-0.4","KENNEDY CREEK ABOVE OLD OLYMPIC HWY","Stream or River","Kennedy Creek ~500 ft upstream of Old Olympic Hwy crossing",,"N","","","WA","","MASON","Kennedy-Goldsborough","Southwest Regional Office",6,35,"17110019000219",13.1685734519342,2/26/2012 12:00:00 AM,47.0944840662065,-123.092455163571,"Discrete monitoring point","+/- 40 ft (12 m)","Computer map - GIS-based","=> 1:500",19,"N",3,"W",32,"NW","SW","",,"","","","","","","","","","NMat0003",11/5/2010 5:06:39 PM,77877730
"14A060","Goldsborough Cr @ Shelton","Stream or River","1ST STREET BRIDGE IN SHELTON",,"N","","","WA","","MASON","Kennedy-Goldsborough","Southwest Regional Office",10,35,"",,,47.21,-123.1,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",20,"N",3,"W",19,"NE","SE","",10,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","Mean sea level (MSL)","","","","","AMS001D, AMS001E",12/7/1998 12:00:00 AM,6002011
"14C050","HAPPY HOLLOW CR AT WA106","Stream or River","WA State Route 106 to Happy Hollow",,"N","","","WA","","Mason","Kennedy-Goldsborough","Southwest Regional Office",6,35,"17110018014644",0.059,2/26/2012 12:00:00 AM,47.388,-122.916111111111,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","Not Applicable",22,"N",2,"W",22,"NE","NW","",,"","","","","","","","","","AMS001",5/11/2012 10:30:40 AM,1096542
"14D070","SHERWOOD CR ABV MOUTH","Stream or River","Go about one half mile up E. Shewood Creek Rd. from Hwy 3 (SE of Allyn) to gate on left side of road. Note: the property is protected by a large bull mastiff dog. Don’t access property unless dog is under control.",,"N","","","WA","","Mason","Kennedy-Goldsborough","Southwest Regional Office",6,35,"17110019012871",61.992,2/26/2012 12:00:00 AM,47.3736666666667,-122.841666666667,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","Not Applicable",22,"N",1,"W",29,"NW","NW","",,"","","","","","","","","","AMS001, AMS001-2",6/14/2013 2:52:09 PM,45048051
"15-BURL-0.5","BURLEY CREEK ABOVE SPRUCE RD & W.TRIB","Stream or River","Burley Creek ~200 ft upstream of Spruce Rd crossing and ~20 ft upstream of confluence with small tribuatry on the west bank",,"N","","","WA","","KITSAP","Kitsap","Northwest Regional Office",6,26,"17110019000153",50.2069451035277,2/26/2012 12:00:00 AM,47.4149158963982,-122.631609043799,"Discrete monitoring point","+/- 40 ft (12 m)","Computer map - GIS-based","=> 1:500",22,"N",1,"E",11,"NE","NE","",,"","","","","","","","","","NMat0003",11/5/2010 5:06:39 PM,35459381
"15A070","DEWATTO RIVER NEAR DEWATTO","Stream or River","DEWATTO RIVER AT BRIDGE ON COUNTY ROAD 2.2 MILES NE OF DEWATTO",,"N","","","WA","","MASON","Kitsap","Southwest Regional Office",6,35,"17110018000646",83.4554305984991,2/26/2012 12:00:00 AM,47.46926,-123.0271,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",23,"N",3,"W",23,"","","",,"","","","","","","","","","AMS001B, AMS001D, AMS001E, FLOW9798",1/1/1753 12:00:00 AM,524040
"15B050","CHICO CR NR CHICO","Stream or River","Located on Erlands Piont Road NW near Bremerton.  Approximately 0.75 miles north of Kitsap Lake and 1.25 miles south of Chico on Highway 3",,"N","","","WA","","KITSAP","Kitsap","Northwest Regional Office",6,35,"17110019003114",7.21741891229147,2/26/2012 12:00:00 AM,47.61167,-122.71111,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",25,"N",1,"E",32,"SW","NW","",,"","","","","","","","","","AMS001D, AMS001E, FLOW9798",1/1/1753 12:00:00 AM,7142370
"15C070","CLEAR CR @ SILVERDALE","Stream or River","Located in Silverdale just downstream of Ridgepoint Dr. NW bridge over creek (park on Leven Road).",,"N","","","WA","","KITSAP","Kitsap","Northwest Regional Office",6,23,"17110019000570",15.7416641891334,2/26/2012 12:00:00 AM,47.65389,-122.68417,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",25,"N",1,"E",16,"SW","SE","",,"","","","","","","","","","AMS001D, AMS001E, FLOW9798",1/1/1753 12:00:00 AM,8542370
"15D070","TAHUYA R @ TAHUYA RIVER RD","Stream or River","From Belfair Tahuya Road turn left onto Tahuya River Road.  Go about 1.2 miles, park when river becomes visible.  Sample upstream of tributary entering from under road.",,"N","","","WA","","MASON","Kitsap","Southwest Regional Office",6,35,"17110018008179",26.4886803846541,2/26/2012 12:00:00 AM,47.4075947483611,-123.006816465703,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","1:24,000",22,"N",3,"W",12,"SW","SE","",,"","","","","","","","","","AMS001E",2/15/2008 8:25:24 AM,95834172
"15D090","TAHUYA R NR BELFAIR","Stream or River","Park at bridge on Belfair-Tahuya Rd.",,"N","","","WA","","MASON","Kitsap","Southwest Regional Office",6,35,"",,,47.43778,-122.95306,"stream center","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",23,"N",2,"W",32,"SE","NE","",,"","","","","","","","","","AMS001D, AMS001E, FLOW9798",1/1/1753 12:00:00 AM,9304470
"15E070","UNION R NR BELFAIR","Stream or River","Go about 1 mile North of Belfair on Old Belfair Highway. Turn left on Timberline Drive and and park on the left approach to the bridge.",,"N","","","WA","","Mason","Kitsap","Southwest Regional Office",6,35,"17110018000235",70.91416,2/26/2012 12:00:00 AM,47.4638,-122.8313,"Discrete monitoring point","+/- 40 ft (12 m)","Paper map interpolation","1:25,000",23,"N",1,"W",20,"SE","SW","",35.67,"FT","NAVD88","+/- 10 ft (3 m)","LIDAR (airborne laser)","","","","","","AMS001D, AMS001E, AMS004, FLOW9798, URTMDL",1/1/1753 12:00:00 AM,9214470
"15F050","BIG BEEF CR @ MOUTH","Stream or River","From Seabeck Hwy NW, take the road just east of the creek to the University of Washington fish weir.",,"N","","","WA","","Kitsap","Kitsap","Northwest Regional Office",6,35,"17110018008012",13.34185793,2/26/2012 12:00:00 AM,47.6503708804558,-122.783486699794,"Discrete monitoring point","+/- 100 ft (30 m)","Unknown","",25,"N",1,"W",15,"SE","SW","",,"","","","","","","","","","AMS001, AMS001E",3/18/2005 10:54:29 AM,32833957
"15G050","LITTLE MISSION CR. @ HWY 300","Stream or River","From Belfair, go East on Hwy 300 for about 3.5 miles to culvert.",,"N","","","WA","","MASON","Kitsap","Southwest Regional Office",6,35,"17110018000669",41.1462134904851,2/26/2012 12:00:00 AM,47.4298172657966,-122.883754655651,"Discrete monitoring point","+/- 40 ft (12 m)","Computer map - GIS-based","1:25,000",22,"N",2,"W",1,"NW","NW","",,"","","","","","","","","","AMS001E, AMS004",3/27/2003 3:09:09 PM,76565222
"15H050","STIMSON CREEK @ HWY 300","Stream or River","From Belfair, go on Hwy 300 eastbound for about 5 miles to culvert.",,"N","","","WA","","MASON","Kitsap","Southwest Regional Office",6,35,"17110018000675",7.76987829869886,2/26/2012 12:00:00 AM,47.4170392832248,-122.907921669629,"Discrete monitoring point","+/- 40 ft (12 m)","Computer map - GIS-based","1:25,000",22,"N",2,"W",11,"NW","NW","",,"","","","","","","","","","AMS001E, AMS004",3/27/2003 3:13:14 PM,9060806
"15J050","BIG MISSION CR. @ HWY 300","Stream or River","From Belfair, go East on Hwy 300 for about 3 miles to brigde.",,"N","","","WA","","MASON","Kitsap","Southwest Regional Office",6,35,"17110018000246",6.79733925823324,2/26/2012 12:00:00 AM,47.4320394958825,-122.87542092527,"Discrete monitoring point","+/- 40 ft (12 m)","Computer map - GIS-based","1:25,000",22,"N",2,"W",1,"NE","NW","",,"","","","","","","","","","AMS001E, AMS004",3/27/2003 3:13:14 PM,79871799
"15K070","OLALLA CR. @ FORSMAN RD.","Stream or River","Go East on Hwy 16 from Tacome, cross Narrows Bridge, take Burley-Olalla Rd (about 12 miles from the Narrows), go right (East) on the road for 2 miles turn right onto Forsman Rd. and go about 1 mile to culvert.",,"N","","","WA","","KITSAP","Kitsap","Northwest Regional Office",6,26,"17110019000140",23.3616277600712,2/26/2012 12:00:00 AM,47.4284318332889,-122.567628823978,"Discrete monitoring point","+/- 40 ft (12 m)","Computer map - GIS-based","1:25,000",22,"N",2,"E",4,"NW","SW","",,"","","","","","","","","","AMS001E, AMS004",3/27/2003 3:13:14 PM,58758441
"15L050","SEABECK CR. @ MOUTH","Stream or River","From Seabeck, drive westbound on the Seabeck Highway, and turn right onto Miami Beach Rd.  Drive around a half mile, and park on the left side, past the bridge.",,"N","","","WA","","KITSAP","Kitsap","Northwest Regional Office",6,35,"17110018000548",16.337713595,8/24/2008 8:18:00 AM,47.6356494094568,-122.83959661171,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","1:24,000",25,"N",1,"W",29,"NW","NW","",,"","","","","","","","","","AMS001, AMS001E",3/18/2005 10:54:29 AM,59565608
"15M070","LLT ANDERSON CR. @ ANDERSON HILL RD","Stream or River","Station is on NW Anderson Hill Rd., due east of Warrenville.",,"N","","","WA","","KITSAP","Kitsap","Northwest Regional Office",6,35,"17110018000527",58.183786942,2/26/2012 12:00:00 AM,47.6603719427153,-122.755429108163,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","1:24,000",25,"N",1,"W",13,"NW","SW","",,"","","","","","","","","","AMS001, AMS001E",3/18/2005 10:54:29 AM,58631694
"15N070","STAVIS CR. @ MOUTH","Stream or River","Locate north of Seabeck on Stavis Bay Road NW.  Station is on right bank about 100 yards upstream of the bridge (just downstream of our flow gage).",,"N","","","WA","","KITSAP","Kitsap","Northwest Regional Office",6,35,"17110018000551",3.42834099326789,2/26/2012 12:00:00 AM,47.6248159835933,-122.87348592768,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","1:24,000",25,"N",2,"W",25,"SE","NW","",,"","","","","","","","","","AMS001, AMS001E",3/18/2005 10:54:29 AM,64213502
"16A070","SKOKOMISH RIVER NEAR POTLATCH","Stream or River","LOCATED AT HIGHWAY 101 BRIDGE ON THE SKOKOMISH RIVER APPROXIMATELY EIGHT MILES NORTH OF SHELTON",,"N","","","WA","","MASON","Skokomish-Dosewallips","Southwest Regional Office",6,35,"17110017000011",24.012505056,2/26/2012 12:00:00 AM,47.31,-123.17664,"stream center","+/- 100 ft (30 m)","Computer map - GIS-based","1:24,000",21,"N",4,"W",15,"NW","SE","",,"","","","","","","","","","AMS001, AMS001-2, AMS001B, AMS001C, AMS001D, AMS001E, AMS004, KESE0004",1/1/1753 12:00:00 AM,2333320
