"Location_ID","Location_Name","Well_Tag_ID","USGS_Site_Number","County_Local_or_Regional_ID","Location_Setting","Location_Description","Ecology_Facility_Site_ID","Is_Location_a_Well","Address","City","State","Zip_Code","County","Watershed_WRIA","Ecology_Region","US_Congressional_District","State_Legislative_District","NHD_Reach_Code","NHD_Reach_Measure","NHD_Edit_Date","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Horizontal_Coordinates_Represent","Horizontal_Coordinate_Accuracy","Horizontal_Coordinate_Collection_Method","Paper_Map_Scale","Township_Number","Township_Direction","Range_Number","Range_Direction","Section_Number","Quarter_Section_Township_Range","Quarter_Quarter_Section_Township_Range","Land_Surface_Elevation","Land_Surface_Elevation_Units","Land_Surface_Elevation_Datum","Land_Surface_Elevation_Accuracy","Land_Surface_Elevation_Collection_Method","Sediment_Elevation_Elevation_Reference","Groundwater_Location_Type","Well_Completion_Depth","Well_Completion_Depth_Units","Well_Completion_Type","Well_Open_Interval_Upper_Depth","Well_Open_Interval_Lower_Depth","Well_Open_Interval_Units","Well_Maximum_Casing_Diameter","Well_Maximum_Casing_Diameter_Units","Well_Casing_Material","Well_Construction_End_Date","Well_Construction_Method_Description","Well_Construction_Comment","Is_Well_Upgradient_of_a_Facility_Site","Aquifer_Test_Conducted","Naturally_Flowing_Well","Location_Suspect_or_Rejected_Flag","Location_Suspect_Code","Location_Suspect_Description","Well_Summary_Link","Location_ID_Alias","Associated_Study_ID","Record_Created_On","Location_System_ID"
"AO#DE6815-MW-23","AO#DE6815-MW-23","","","","Land","Approximately 1621 feet southwest of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1164564702332,-123.409443389495,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"SE","NE",,"","","","","","Monitoring Well",14,"FT","Cased, Open Interval",,,"",,"","Plastic, pvc",,"","","","","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AO#DE6815-MW-23","","AODE6815",11/23/2011 2:53:28 PM,80250352
"AO#DE6815-MW-29","AO#DE6815-MW-29","","","","Land","Approximately 1736 feet southwest of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1164676424868,-123.409868896652,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"SE","NE",,"","","","","","Monitoring Well",15.5,"FT","Cased, Open Interval",,,"",,"","Plastic, pvc",,"","","","","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AO#DE6815-MW-29","","AODE6815",11/23/2011 2:53:30 PM,43822091
"AO#DE6815-MW-51","AO#DE6815-MW-51","","","","Land","Approximately 886 feet southwest of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1178855939263,-123.407310482872,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"NW","NW",,"","","","","","Monitoring Well",23,"FT","Cased, Open Interval",,,"",,"","Plastic, pvc",,"","","","","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AO#DE6815-MW-51","","AODE6815",11/23/2011 2:53:31 PM,89912852
"AO#DE6815-MW-52","AO#DE6815-MW-52","","","","Land","Approximately 2217 feet southwest of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1159239182896,-123.412003553586,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"SE","NE",,"","","","","","Monitoring Well",23.5,"FT","Cased, Open Interval",,,"",,"","Plastic, pvc",,"","","","","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AO#DE6815-MW-52","","AODE6815",11/23/2011 2:53:32 PM,36807149
"AO#DE6815-MW-53","AO#DE6815-MW-53","","","","Land","Approximately 1623 feet southwest of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1170339679172,-123.410007742961,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"SE","NE",,"","","","","","Monitoring Well",14,"FT","Cased, Open Interval",,,"",,"","Plastic, pvc",,"","","","","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AO#DE6815-MW-53","","AODE6815",11/23/2011 2:53:33 PM,28157832
"AO#DE6815-MW-54","AO#DE6815-MW-54","","","","Land","Approximately 1430 feet west of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1175303797335,-123.409539496194,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"NW","NW",,"","","","","","Monitoring Well",23,"FT","Cased, Open Interval",,,"",,"","Plastic, pvc",,"","","","","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AO#DE6815-MW-54","","AODE6815",11/23/2011 2:53:33 PM,13420672
"AO#DE6815-MW-55","AO#DE6815-MW-55","","","","Land","Approximately 1282 feet west of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1178353181959,-123.409275647309,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"NW","NW",,"","","","","","Monitoring Well",27.5,"FT","Cased, Open Interval",,,"",,"","Plastic, pvc",,"","","","","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AO#DE6815-MW-55","","AODE6815",11/23/2011 2:53:34 PM,44392322
"AO#DE6815-MW-56","AO#DE6815-MW-56","","","","Land","Approximately 864 feet south of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.117648012582,-123.406310127829,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"NW","NW",,"","","","","","Monitoring Well",31,"FT","Cased, Open Interval",,,"",,"","Plastic, pvc",,"","","","","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AO#DE6815-MW-56","","AODE6815",11/23/2011 2:53:35 PM,48410933
"AO#DE6815-MW-57","AO#DE6815-MW-57","","","","Land","Approximately 1303 feet southwest of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1172610284137,-123.408632908689,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"NW","NW",,"","","","","","Monitoring Well",29,"FT","Cased, Open Interval",,,"",,"","Plastic, pvc",,"","","","","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AO#DE6815-MW-57","","AODE6815",11/23/2011 2:53:36 PM,38281284
"AO#DE6815-MW-58","AO#DE6815-MW-58","","","","Land","Approximately 1186 feet south of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1169076808476,-123.406822043353,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"NW","NW",,"","","","","","Monitoring Well",20,"FT","Cased, Open Interval",,,"",,"","Plastic, pvc",,"","","","","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AO#DE6815-MW-58","","AODE6815",11/23/2011 2:53:36 PM,44478188
"AO#DE6815-MW-59","AO#DE6815-MW-59","","","","Land","Approximately 2046 feet south of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1150107448978,-123.400743965469,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"NW","NW",,"","","","","","Monitoring Well",25,"FT","Cased, Open Interval",,,"",,"","Plastic, pvc",,"","","","","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AO#DE6815-MW-59","","AODE6815",11/23/2011 2:53:37 PM,40606198
"AO#DE6815-MW-70","AO#DE6815-MW-70","","","","Land","Approximately 1669 feet south of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1152918258902,-123.405390118173,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Unknown","Not Applicable",30,"N",6,"W",1,"NW","NW",,"","","","","","Monitoring Well",28,"FT","Cased, Open Interval",,,"",,"","Plastic, pvc",,"","","","","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AO#DE6815-MW-70","","AODE6815",11/23/2011 2:53:45 PM,57577916
"AO#DE6815-PZ-10","AO#DE6815-PZ-10","","","","Land","Approximately 1891 feet south of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1149010264597,-123.402493636262,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"NW","NW",,"","","","","","Monitoring Well",19.25,"FT","Cased, Open Interval",,,"",,"","Plastic, pvc",,"","","","","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AO#DE6815-PZ-10","","AODE6815",11/23/2011 2:53:49 PM,6170705
"AO#DE6815-PZ-11","AO#DE6815-PZ-11","","","","Land","Approximately 2281 feet south of the center of the site.",,"Y","","","WA","","Clallam","Elwah-Dungeness","Southwest Regional Office",6,24,"",,,48.1137378630409,-123.403992275966,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Computer map - GIS-based","Not Applicable",30,"N",6,"W",1,"NW","NW",,"","","","","","Monitoring Well",15,"FT","Cased, Open Interval",,,"",,"","Plastic, pvc",,"","","","","","","","","https://fortress.wa.gov/ecy/eimreporting/Default.aspx?LocationUserId=AO#DE6815-PZ-11","","AODE6815",11/23/2011 2:53:49 PM,67028019
