Name,Status,Id,Cost,Start,End,Organization,Lat,Lon,URL
A. Snow Creek WDFW CREP (Old Andrews),Completed,01-05-003,0,2005-01-01T00:00:00,2015-01-01T00:00:00,Hood Canal Coordinating Council (LE),47.9782,-122.8861,http://waconnect.paladinpanoramic.com/project/170/7243
A. Snow/Salmon Cr. 2007 Riparian Project,Completed,01-05-001,136312,2007-01-01T00:00:00,2012-12-30T00:00:00,Hood Canal Coordinating Council (LE),47.9749,-122.8879,http://waconnect.paladinpanoramic.com/project/170/7241
Hall-Wentland Aquifer Recharge Project: Operations,Completed,32-WWB,0,2005-01-01T00:00:00,2008-06-30T00:00:00,Snake River Salmon Recovery Board (LE),45.99837552,-118.4121578,http://waconnect.paladinpanoramic.com/project/320/3251
Illabot Road Decommissioning,Completed,09.03,163058,2009-12-10T00:00:00,2011-06-30T00:00:00,Skagit Watershed Council (LE),48.42352754,-121.4180843,http://waconnect.paladinpanoramic.com/project/280/15203
IMW Restoration Treatments,Conceptual,09010,550000,0001-01-01T00:00:00,0001-01-01T00:00:00,North Olympic Peninsula LE for Salmon,48.1654,-124.0305,http://waconnect.paladinpanoramic.com/project/180/70351
Invasive Species Prevention Phase 1 (UCD),Completed,06-2253,154954,2006-12-06T00:00:00,2012-04-19T00:00:00,Klickitat County (LE),45.701,-121.2904167,http://waconnect.paladinpanoramic.com/project/310/2049
"Lones Levee/Turley Levee  near RM37-37.5, MG-9",Conceptual,09-MG-009Conceptual,3300000,2016-01-04T00:00:00,2019-06-30T00:00:00,Green/Duwamish Watershed - WRIA 9 (LE),0,0,http://waconnect.paladinpanoramic.com/project/250/39983
McCaslin-Robinson Creek Culvert Barrier Removal,Active,12-1859,0,2013-09-01T00:00:00,2014-12-31T00:00:00,Pacific County Region (LE),46.5693,-123.5846,http://waconnect.paladinpanoramic.com/project/130/39799
McSorley Cr Pocket Estuary Restoration,Active,09-NS-015B,4355000,2015-02-01T00:00:00,2018-06-29T00:00:00,Green/Duwamish Watershed - WRIA 9 (LE),47.37290379,-122.3231336,http://waconnect.paladinpanoramic.com/project/250/29654
Mid-Spencer Tidal Marsh Enhancement - Design,Active,07-ER-040,1100000,2014-01-01T00:00:00,2017-12-31T00:00:00,Snohomish River Basin (LE),48.01275822,-122.1552373,http://waconnect.paladinpanoramic.com/project/260/12642
Regional Riparian Property Protection,Conceptual,32-WRIA,0,2009-01-01T00:00:00,2011-06-06T00:00:00,Snake River Salmon Recovery Board (LE),46.25737571,-118.2970436,http://waconnect.paladinpanoramic.com/project/320/3677
SF Nooksack River Elk Flats Preliminary Design,Proposed,16-LNR-RCO2058,115509,2016-09-01T00:00:00,2019-12-31T00:00:00,WRIA 1 Salmon Recovery Board (LE),48.6001,-122.0524,http://waconnect.paladinpanoramic.com/project/360/80484
Shale Creek Preliminary Design,Active,15-1097,51000,2015-01-09T00:00:00,2017-06-30T00:00:00,Quinault Indian Nation (LE),47.6353,-124.2517,http://waconnect.paladinpanoramic.com/project/110/39984
Skokomish Estuary Restoration Phase 1- Nalley Slough,Completed,10-03-000,1341028,2005-01-01T00:00:00,2007-12-31T00:00:00,Hood Canal Coordinating Council (LE),47.3345,-123.1353,http://waconnect.paladinpanoramic.com/project/170/13404
WRIA 07 CO2/O2 Pilot Program,Proposed,07-MPR-233,117500,2014-01-01T00:00:00,2017-06-30T00:00:00,Snohomish River Basin (LE),0,0,http://waconnect.paladinpanoramic.com/project/260/18370
10 Year CREP Extensions,Completed,35-TB,866497,2007-01-01T00:00:00,2011-09-30T00:00:00,Snake River Salmon Recovery Board (LE),46.38263938,-117.6966188,http://waconnect.paladinpanoramic.com/project/320/2658
12 Rivers Channel Migration Zone Assessment,Conceptual,09066.1,300000,0001-01-01T00:00:00,0001-01-01T00:00:00,North Olympic Peninsula LE for Salmon,48.15855455,-123.760569,http://waconnect.paladinpanoramic.com/project/180/7026
1977 Hayes Conservation Easement,Completed,06-CW-03-002,1000,1997-01-01T00:00:00,1997-12-30T00:00:00,WRIA 6 - Island County (LE),48.3277,-122.5379,http://waconnect.paladinpanoramic.com/project/200/2345
1984 Heath Conservation Easement - Ebey's Landing Bluff Trail,Completed,06-NP-01-001,1000,1984-01-01T00:00:00,1984-12-30T00:00:00,WRIA 6 - Island County (LE),48.2028,-122.7331,http://waconnect.paladinpanoramic.com/project/200/2360
1985 Mitchell Conservation Easement,Completed,06-NP-01-002,1000,1985-01-01T00:00:00,1987-12-30T00:00:00,WRIA 6 - Island County (LE),48.2815,-122.5558,http://waconnect.paladinpanoramic.com/project/200/2139
1994 Whidbey Institute Conservation Easement,Completed,06-CW-01-005,1000,1994-01-01T00:00:00,1994-12-30T00:00:00,WRIA 6 - Island County (LE),47.9763,-122.4064,http://waconnect.paladinpanoramic.com/project/200/1976
