"Location_ID","Location_Name","Location_Setting","Location_Description","Ecology_Facility_Site_ID","Is_Location_a_Well","Address","City","State","Zip_Code","County","Watershed_WRIA","Ecology_Region","US_Congressional_District","State_Legislative_District","NHD_Reach_Code","NHD_Reach_Measure","NHD_Edit_Date","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Horizontal_Coordinates_Represent","Horizontal_Coordinate_Accuracy","Horizontal_Coordinate_Collection_Method","Paper_Map_Scale","Township_Number","Township_Direction","Range_Number","Range_Direction","Section_Number","Quarter_Section_Township_Range","Quarter_Quarter_Section_Township_Range","Elevation_of","Elevation","Elevation_Units","Elevation_Datum","Elevation_Accuracy","Elevation_Collecton_Method","Sediment_Elevation_Elevation_Reference","Location_Suspect_or_Rejected_Flag","Location_Suspect_Code","Location_Suspect_Description","Location_ID_Alias","Associated_Study_ID","Record_Created_On","Location_System_ID"
"03005 MW-12I","HANSVILLE LF MW-12I","Land","On native american land outside landfill. Follow trail that starts in Kwayachen housing development. 5 feet off road just past SW-1",,"Y","7791 NE Ecology Rd","Kingston","WA","98346","Kitsap","Kitsap","Northwest Regional Office",6,23,"",,,47.8459794385635,-122.555864638141,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",27,"N",2,"E",9,"SW","NE","Top of Well Casing",,"","","","","","","","","","FS2605",2/2/2012 12:46:14 PM,60492549
"03005 MW-13D","HANSVILLE LF MW-13D","Land","On Kwayachen trail, turn right past SW-4, turn right at first trial to the right",,"Y","7791 NE Ecology Rd","Kingston","WA","98346","Kitsap","Kitsap","Northwest Regional Office",6,23,"",,,47.8485434681973,-122.555275468016,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",27,"N",2,"E",9,"NW","SE","Top of Well Casing",,"","","","","","","","","","FS2605",2/2/2012 12:46:16 PM,24950423
"03005 MW-14","HANSVILLE LF MW-14","Land","At southwest edge of landfill perimeter road. 10 feet off roadway",,"Y","7791 NE Ecology Rd","Kingston","WA","98346","Kitsap","Kitsap","Northwest Regional Office",6,23,"",,,47.8472310045937,-122.550484735253,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",27,"N",2,"E",9,"NE","SW","Top of Well Casing",,"","","","","","","","","","FS2605",2/2/2012 12:46:18 PM,12315326
"03005 MW-5","HANSVILLE LF MW-5","Land","Outside of Landfill entrance, on south side of road approximately 5 feet",,"Y","7791 NE Ecology Rd","Kingston","WA","98346","Kitsap","Kitsap","Northwest Regional Office",6,23,"",,,47.8496374895539,-122.54552968031,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",27,"N",2,"E",9,"NE","","Top of Well Casing",,"","","","","","","","","","FS2605",2/2/2012 12:46:11 PM,50695229
"03005 MW-6","HANSVILLE LF MW-6","Land","West edge of landfill, approximately 10 feet off road in small depression",,"Y","7791 NE Ecology Rd","Kingston","WA","98346","Kitsap","Kitsap","Northwest Regional Office",6,23,"",,,47.8482615206223,-122.551209635308,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",27,"N",2,"E",9,"NE","SW","Top of Well Casing",,"","","","","","","","","","FS2605",2/2/2012 12:46:12 PM,94988297
"03005 MW-7","HANSVILLE LF MW-7","Land","North side of landfill, down trail at the top of the hill",,"Y","7791 NE Ecology Rd","Kingston","WA","98346","Kitsap","Kitsap","Northwest Regional Office",6,23,"",,,47.8510719774459,-122.550144481881,"Discrete monitoring point","+/- 0.1 ft (0.03 m)","Survey - conventional","",27,"N",2,"E",9,"NE","NW","Top of Well Casing",,"","","","","","","","","","FS2605",2/2/2012 12:46:13 PM,6952296
"03005 SW-1","HANSVILLE LF SW-1","Spring","Down slope on Kwayachen trail near MW-12I",,"N","7791 NE Ecology Rd","Kingston","WA","98346","Kitsap","Kitsap","Northwest Regional Office",6,23,"",,,47.84562,-122.55595,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","",27,"N",2,"E",9,"SW","NE","",,"","","","","","","","","","FS2605",2/2/2012 12:46:19 PM,6875540
"03005 SW-4","HANSVILLE LF SW-4","Spring","On Kwayachen trail just off road, collect sample from culvert outfall",,"N","7791 NE Ecology Rd","Kingston","WA","98346","Kitsap","Kitsap","Northwest Regional Office",6,23,"",,,47.84787,-122.55911,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","",27,"N",2,"E",9,"NW","SW","",,"","","","","","","","","","FS2605",2/2/2012 12:46:21 PM,41503288
"03005 SW-6","HANSVILLE LF SW-6","Spring","On Kwayachen trail just off road, collect sample from culvert outfall",,"N","7791 NE Ecology Rd","Kingston","WA","98346","Kitsap","Kitsap","Northwest Regional Office",6,23,"",,,47.84934,-122.56113,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","",27,"N",2,"E",9,"NW","SW","",,"","","","","","","","","","FS2605",2/2/2012 12:46:23 PM,57363532
"03005 SW-7","HANSVILLE LF SW-7","Spring","Trailhead is located at the baseball field at Little Boston Community Center. Fallow trail/stream to the SE ~0.5mi to stream head",,"N","7791 NE Ecology Rd","Kingston","WA","98346","Kitsap","Kitsap","Northwest Regional Office",6,23,"",,,47.85256,-122.55946,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","",27,"N",2,"E",9,"NW","NW","",,"","","","","","","","","","FS2605",2/2/2012 12:46:24 PM,61704668
"14-KENN-0.4","KENNEDY CREEK ABOVE OLD OLYMPIC HWY","Stream or River","Kennedy Creek ~500 ft upstream of Old Olympic Hwy crossing",,"N","","","WA","","MASON","Kennedy-Goldsborough","Southwest Regional Office",6,35,"17110019000219",13.1685734519342,2/26/2012 12:00:00 AM,47.0944840662065,-123.092455163571,"Discrete monitoring point","+/- 40 ft (12 m)","Computer map - GIS-based","=> 1:500",19,"N",3,"W",32,"NW","SW","",,"","","","","","","","","","NMat0003",11/5/2010 5:06:39 PM,77877730
"1490 MW-10","PURDY LF MW-10","Land","Located approximately 475ft north of transfer station. Access by following trail to clearing for well.",1290,"Y","14515 54th Ave NW","Gig Harbor","WA","98332","Pierce","Kitsap","Southwest Regional Office",6,26,"",,,47.3933280009398,-122.608383,"Discrete monitoring point","+/- 20 ft (6 m)","Computer map - GIS-based","",,"",,"",,"","","Top of Well Casing",,"","","","","","","","","","VCSW1490",8/2/2016 4:32:17 PM,100046451
"1490 MW-4","PURDY LF MW-4","Land","Located along the west property boundary, approximately 250ft north of the end of 58th Ave NW.",1290,"Y","14515 54th Ave NW","Gig Harbor","WA","98332","Pierce","Kitsap","Southwest Regional Office",6,26,"",,,47.3918980009398,-122.615495,"Discrete monitoring point","+/- 40 ft (12 m)","Computer map - GIS-based","",,"",,"",,"","","Top of Well Casing",,"","","","","","","","","","VCSW1490",8/2/2016 4:32:16 PM,100046447
"1490 MW-5","PURDY LF MW-5","Land","Located along the northern road shoulder on the road between the transfer station and compost facility at the top of the berm.",1290,"Y","14515 54th Ave NW","Gig Harbor","WA","98332","Pierce","Kitsap","Southwest Regional Office",6,26,"",,,47.3926500009398,-122.610489,"Discrete monitoring point","+/- 20 ft (6 m)","Computer map - GIS-based","",,"",,"",,"","","Top of Well Casing",,"","","","","","","","","","VCSW1490",8/2/2016 4:32:17 PM,100046448
"1490 MW-7","PURDY LF MW-7","Land","Located in along the main entrance road, approximately 150ft north-northeast of site entrance. Well is located at the north edge of the stormwater swale.",1290,"Y","14515 54th Ave NW","Gig Harbor","WA","98332","Pierce","Kitsap","Southwest Regional Office",6,26,"",,,47.3894260009398,-122.609686,"Discrete monitoring point","+/- 20 ft (6 m)","Computer map - GIS-based","",,"",,"",,"","","Top of Well Casing",,"","","","","","","","","","VCSW1490",8/2/2016 4:32:17 PM,100046449
"1490 MW-8","PURDY LF MW-8","Land","Located approximately 730ft north-northwest of the stormwater detention pond and 500ft west of compost facility. Access is from trailhead at the stormwater pond.",1290,"Y","14515 54th Ave NW","Gig Harbor","WA","98332","Pierce","Kitsap","Southwest Regional Office",6,26,"",,,47.3941930009398,-122.614243,"Discrete monitoring point","+/- 40 ft (12 m)","Computer map - GIS-based","",,"",,"",,"","","Top of Well Casing",,"","","","","","","","","","VCSW1490",8/2/2016 4:32:17 PM,100046450
