Project Description,Performance Summary,Funding Number,Application/Alt Reference Number,"Status
 (I=Inactive/Closed, A=Active)",Funding Fiscal Year,General Project Category,SRF/CBR Project (Needs) Category 1,SRF/CBR Project (Needs) Category 2,SRF/CBR Project (Needs) Category 3,County,WRIA,Leg Dist,Cong Dist,Fund Source,Recipient,Project Title,End Date,Funding Provided,Application Number,Applicant Organization,Project Title,Project Description,Population of the System,Population of the Project,Year of the Population Estimate,ESA_YES_NM,Statewide_PROJ_YES_NM,APP_START_DATE_DT,PROJ_LENGTH_NR,ANT_PROJ_COMP_DATE,INIT_OPER_DATE,Waterbodies Affected,303D List_True_False,303D LISTING_ID1,303D LISTING_ID2,303D LISTING_ID3,303D LISTING_ID4,303D LISTING_ID5,303D LISTING_ID6,303D LISTING_ID7,303D LISTING_ID8,303D LISTING_ID9,303D LISTING_ID10,Addresses Priority Area of Puget Sound Partnership Action Agenda,Area of Puget Sound Partnership Action Agenda Addressed,Affects Endangered Salmonids,Affects Threatened Salmonids,Affects Other Endangered Species,Involves Shellfish Habitat,Involves Domestic Water Supply,Involves Public Health Requirement,Addresses TMDL,Addresses NPDES,Addressing Any Other Needs,Program Plans Being Implemented,GMA Compliance,GMA Compliance Date,Anticipated Date of Reaching GMA Compliance,Wastewater Treatment System,Water Reclamation Reuse,Water Reclaimation Reuse Feasibility Study,Stormwater Pollutant Control Facility,Onsite Repair-Replacement,Combined Sewer Overflow Correction,Other Category of Facility Project,Combined Compr or Gen Sewer or SW Plan with Fac. Plan,Facility Comp. Plan Approval Date,Site Specific Fac. Plan,Site Specific Fac. Plan Approval Date,Facility Design,Facility Design Approval Date,Facility Construction,Facility Construction Approval Date,Facility Design & Construction,Facility Design & Construction Approval Date,Facility Design-Build ,Facility Design-Build Approval Date,Does project address permit requirements,Permit Number,Permit status,Permit BOD Limit,Permit TSS Limit,Facility Design Capacity,Project Involves Reducing A Pollutant Load,Project Improves Dissolved Oxygen,Project Reduces Nitrogen,Project Reduces Phosphorus,Project Reduces Sediment,Project Reduces Fecal Coliform,Project Improves Stream Temp,Other Pollutant Reductions/Improvements,Project Improves Shade,Project Improves Organic Debris,SW_CATEGORY_LID,SW_CATEGORY_Source Control,SW_CATEGORY_RETROFIT,SW_CATEGORY_RETROFIT_LID,SW_CATEGORY_VACTOR WASTE FACILITY,SW_CATEGORY_PRETREATMENT-OIL Control Facility,SW_CATEGORY_Flow Control to Sewers,SW_CATEGORY_TAPE,SW_CATEGORY_OTHER,SW_CATEGORY_READY to Construct,SW_CATEGORY_DSGN Complete,SW_CATEGORY_PRCNT_DESGN_Complete,ACT_Category_AgBMP,ACT_CATEGORY_SW_BMP,ACT_CATEGORY_OTHER_BMPS,ACT_CATEGORY_LAKE Restoration,ACT_CATEGORY_Water Quality Monitoring,ACT_CATEGORY_Riparian Restoration,ACT_CATEGORY_Large Woody Debris,ACT_CATEGORY_Bank Stabilization,ACT_CATEGORY_Public Education,ACT_CATEGORY_OSS Planning-Surveys,ACT_CATEGORY_Groundwater Protection Plan,ACT_CATEGORY_Pilot-Demo,ACT_CATEGORY_Comp Planning,ACT_CATEGORY_OTHER,WATERCAT_Freshwater River,WATERCAT_Freshwater Lake,WATERCAT_Freshwater Wetlands,WATERCAT_Groundwater,WATERCAT_Marine Water,WATERCAT_Saltwater Estuary,WATERCAT_Other Waterbody Types,Latitude,Longitude
,,C0500060,WA05009,I,2005,Nonpoint Source Activity,,,,JEFFERSON,14,,,Section 319 Grant Program - DIF,WASHINGTON STATE UNIVERSITY,ADDRESSING NUTRIENT LOADING IN THE HOOD CANAL AT THE SOURCE,12/31/05,"$50,000.00",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,C0500079,FP05SP01,I,2005,#N/A,,,,MASON,14,35,06,Centennial Clean Water Program,HOOD CANAL SALMON ENHANCEMENT GROUP,SALMON ENHANCEMENT PROJECT - MOLLUSCAN RESEARCH,12/31/05,"$150,000.00",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"In support of the Toxics and Nutrients Prevention, Reduction, and Control Strategy, Clean Production Action will develop a comprehensive alternative assessment guidance document that will be used by a wide range of businesses and manufacturers to assist in efforts to reduce or eliminate the use of toxic chemcials in products or manufacturing processes.",A final guidance document was published on the IC2 website.,C1200170,,I,2012,NEP,,,,CLALLAM,14,40,01,National Estuary Program (NEP),Clean Production Action,Development of a Chemical Hazard-based Technical Alternative Assessment Guidance (TAAG) Document,6/30/13,"$27,000.00",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Washington Sea Grant will use the funds to provide administrative support for the Ocean Acidification Blue Ribbon Panel in achieving its objectives.  Activities will include the facilitation of meetings; coordination and management of meetings and activities, document review, recommendations; response to inquiries; and processing and reimbursement of routine travel expenses.","In December 2011, Governor Gregoire convened a Blue Ribbon Panel of leading tribal, state, federal and local policy makers; scientific experts; public opinion leaders; and industry representatives. 
The Blue Ribbon Panel has focussed on documenting the current state of scientific knowledge, ways to advance our scientific understanding of the effects of ocean acidification, and recommend actions to respond to increasing ocean acidification, reduce harmful effects on Washington’s shellfish and other marine resources, and adapt to the impacts of acidified waters. 
In December 2011, Governor Gregoire convened a Blue Ribbon Panel of leading tribal, state, federal and local policy makers; scientific experts; public opinion leaders; and industry representatives. 
The Blue Ribbon Panel has focussed on documenting the current state of scientific knowledge, ways to advance our scientific understanding of the effects of ocean acidification, and recommend actions to respond to increasing ocean acidification, reduce harmful effects on Washington’s shellfish and other marine resources, and adapt to the impacts of acidified waters
In December 2011, Governor Gregoire convened a Blue Ribbon Panel of leading tribal, state, federal and local policy makers; scientific experts; public opinion leaders; and industry representatives. 
The Blue Ribbon Panel has focussed on documenting the current state of scientific knowledge, ways to advance our scientific understanding of the effects of ocean acidification, and recommend actions to respond to increasing ocean acidification, reduce harmful effects on Washington’s shellfish and other marine resources, and adapt to the impacts of acidified waters
In December 2011, Governor Gregoire convened a Blue Ribbon Panel of leading tribal, state, federal and local policy makers; scientific experts; public opinion leaders; and industry representatives. 
The Blue Ribbon Panel has focussed on documenting the current state of scientific knowledge, ways to advance our scientific understanding of the effects of ocean acidification, and recommend actions to respond to increasing ocean acidification, reduce harmful effects on Washington’s shellfish and other marine resources, and adapt to the impacts of acidified waters
In December 2011, Governor Gregoire convened a Blue Ribbon Panel of leading tribal, state, federal and local policy makers; scientific experts; public opinion leaders; and industry representatives. The Blue Ribbon Panel has focussed on documenting the current state of scientific knowledge, ways to advance our scientific understanding of the effects of ocean acidification, and recommend actions to respond to increasing ocean acidification, reduce harmful effects on Washington’s shellfish and other marine resources, and adapt to the impacts of acidified waters. http://www.ecy.wa.gov/water/marine/oa/panel.html",C1200219,,I,2012,NEP,,,,CLALLAM,14,40,01,National Estuary Program (NEP),UNIVERSITY OF WASHINGTON,Washington Shellfish Initiative Ocean Acidification Blue Ribbon Pannel,10/31/12,"$35,000.00",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
The County will use the money to develop and implement an ongoing on-site septic system operation and maintenance education and homeowner inspection and reporting program with the goal of enhancing fresh water quality in the Lower Hood Canal watershed.,"For the past four years homeowners' manuals have been sent to owners of newly installed septic systems along with their system as-builts.  Beginning January 2004, all pumpers and O&M Specialists are required to submit a copy of a service report to the Mason County Department of Health Services.  Returned reports are used to create service records for systems in the database.  The Carmody program was obtained by the county.  The Carmody program is an internet based data management system for properties with onsite septic systems.  This system can, in addition to many other things, notify the county when it is time to send in the notification letter and next form inspection for each property.  This grant has provided an excellent foundation for expanding the development of an O & M Program that will include septic systems throughout Mason County.  Over 40 percent of the systems tracked in the database have current maintenance reports recorded.  Future mailings can be targeted to homeowners in a specific watershed, range of parcel numbers, type of system and other groupings.  This flexibility will support a number of potential projects and studies or the county or state.",G0200360,FP02123,I,2002,On-Site Septic System,,,,MASON,14,35,06,Centennial Clean Water Program,MASON COUNTY DEPT OF HEALTH SVCS,LOWER HOOD CANAL O & M PROGRAM,12/31/04,"$90,000.00",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"The main goal of this project was to develop an integrated aquatic vegetation management plan for Mason Lake that includes aquatic plant survey, education, and recommended strategies to eradicate/contain milfoil populations.","An Integrated Aquatic Vegetation Management Plan was submitted and approved by Ecology. Management options include spot treating milfoil with 2,4-D and removing the remaining milfoil with diver hand pulling.",G0300150,AWMF03013,I,2003,Aquatics,,,,MASON,14,35,06,Aquatic Invasive Plant Program,MASON CONSERVATION DISTRICT,MASON LAKE IAVMP,3/15/05,"$29,973.80",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Mason Conservatoni District will try a variety of control methods including hand removal, covering with bottom screening, and various aquatice labled herbicides to determine the best way to control the growth of this weed in Mason Lake.","Mason Conservation District used a variety of methods to control/eradicate Slender Arrowhead.  Volunteers removed Slender Arrowhead by hand pulling.  volunteers and contractors also placed 28,500 sq. ft. of bottom barrier fabric, anchored with sandbags.  Bottom barriers were estimated to be about 80% effective after two years of coverage.  Mason Conservation District experimented with three different aquatic herbicides to control the plant. Reward (diquat dibromide) worked well to control the submerged vegetation, but did not affect root corwns, tubers, or rhizomes.  Sonar (flouridone) provided excellent control in the laboratory, but no control in the lake. Lake residents designed and used an annovative tent-like structure to contain the herbicide around the target plants, but the herbicide was still ineffective.  Rodeo (glyphosate) only controls plants that extend above the water line (though it controls them very well).  Little of the Slender Arrowhead in Mason Lake extends above the water line sufficiently to allow foliar application of this herbicide.  At the beginning of the project, the recipient estimated that Slender Arrowhead covered about 4.5 acres of the littorial area of Mason Lake.  At the end of the project, the doverage was estimated to be about 1.0 acre.  The recipient was optimistic that 90% of the remaining infestation would be controlled/eradicated through the use of bottom barriers.",G0400272,EI0401,I,2004,Aquatics,,,,MASON,14,35,06,Aquatic Invasive Plant Program,MASON CONSERVATION DISTRICT,Slender Arrowhead Eradication in Mason Lake,9/30/09,"$43,526.49",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"THIS GRANT PROVIDES $36,000 TO CONTINUE THE MILFOIL ERADICATION EFFORT IN MASON lAKE BY INSTALLING BOTTOM BARRIERS AND HAND PULLING.","Water Quality and Environmental Outcomes 
The areas of Mason Lake infested with milfoil remained about the same when comparing the 2007 and 2010 survey/treatment maps. However, the density of the infestation has been reduced.  The Mason Lake group has concluded that they have developed an effective approach to controlling, but not eradicating, this aquatic weed.
Performance Items and Deliverables 
The grant recipient completed all of the performance items, and Ecology received the required deliverables. Key among these items were:
•	Surveying the littoral zone of the lake and identifying milfoil locations.
•	Using a combination of professional and volunteer labor for control efforts (placing bottom barriers, hand pulling, and applying herbicides).
•	Maintaining a high level of public awareness of the milfoil infestation and control efforts
Additional Comments: 
This project was envisioned as primarily one of installing bottom barriers and using hand pulling for weed control. The scope of work was modified to include using spot treatment with herbicides for areas that could not be controlled with bottom barriers or hand pulling.",G0600340,AWMF0601,I,2006,Aquatics,,,,MASON,14,35,06,Aquatic Invasive Plant Program,MASON CONSERVATION DISTRICT,Mason Lake Milfoil Project,9/30/10,"$36,000.00",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"This grant provides $10,500 to fund the development and use of experimental containment barriers to isolate and treat small areas of noxious weeds with aquatic herbicides.","The recipient was able to design, test, redesign and ultimately successfully deploy chemical containment barriers that achieved 100% effectiveness against Eurasian water milfoil.  They adjusted initial chemical applicaiton rates to increase effectiveness from the manufacturer's stated application rates.",G0600341,AWMF0602,I,2006,Aquatics,,,,MASON,14,35,06,Aquatic Invasive Plant Program,MASON CONSERVATION DISTRICT,Experimental Chemical Containment Project,6/30/10,"$10,496.15",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"The Mason Conservation District will use the money to encourage local involvement in the process to assist the Department of Ecology in the development of the detailed implementation plan for the Todd/Eld Inlet Total maximum daily load.  The district will also facilitate water quality monitoring within the watershed, study the effectiveness of best management practices (BMPs) implemented in the 1990s, develop a solid LID Implementation tracking and follow-up program, establish an 'Early Contact' program for the conversion of large tracts of land into potential small non-commercial livestock keeping operations, and conduct outreach programs to educate the landowners within the project area on the use of BMPS for both agricultural practices and on-site system operation and maintenance.  The Mason Conservation District will also work with landowners to develop new farm management plans.","Thurston County Dept. of Public Health performed water quality monitoring to investigate pollution problems identified during the Dept. of Health's 2004 Shoreline Survey of the Eld Inlet Shellfish Growing Area.  A detailed detailed report of the activities they accomplished under this project was provided as part of the final reporting requirements.  All monitoring data was submitted into the EIM database.  The County also participated in the DIP/SIS process.  In addition to the follow-up in the Eld Inlet basin, water quality monitoring was also accomplished in McClane, Schneider, and Kennedy Creeks.  Very few compliance issues were identified.  All agricultural sites were referred to Thurston CD.  Suspect septic systems were dye traced and none were found failing.  Dog waste was identified as a potential pollution source in the Sunset Beach neighborhood, but was dealt with through a partnership of Thurston County and a neighborhood resident.  A letter identifying the problem and asking for compliance was sent and the resident installed dog poop baggie stations and distributed educational brochures. Mason CD convened and facilitated the Totten/Eld Technical Advisory Group meeting with input from affected local agencies and local citizens.  They worked with Ecology staff to draft a Water Quality Implementation Plan.  Farm planning efforts from the mid-90's were evaluated and deemed effective and still providing benefit to the properties and to water quality.  An inventory of BMPs implemented during inactive grant periods was developed and provided as part of the final reporting requirements.  Agricultural inventories were updated in both Thurston and Mason County portions of the watershed.  Thirty-seven farm plans were developed and/or updated.  A BMP implementation tracking and follow-up program was developed.  Mason CD assisted 62 landowners in implementing 123 BMPs.  Ecology approved BMPs were designed and implemented with technical assistance from Mason CD through new and updated farm plans.  the BMPs implemented included: 2 acres of tree and shrub establishment, 4,925 feet of riparian fencing, and 22 acres of riparian forest buffer.  Thirty-nine workshops were conducted with a total of 933 participants.  Twenty-three press releases to local media advertising the workshops and providing education to readers on water quality issues in the watershed were done.  Two newsletters for Griffin Elementary School parents were produced and distributed.  Seventy-five radio spots on the Garden Gate radio show (KMAS) featuring timely water quality issues were produced.  Educational materials were distributed at 24 local events.  A direct mailing was produced and sent to 600 watershed residents.  Water quality education was provided to youth on 34 different occasions.",G0600345,FP06062,I,2006,Nonpoint Source Activity,,,,THURSTON,14,35,03,Centennial Clean Water Program,MASON CONSERVATION DISTRICT,Totten/Eld Inlet TMDL Response,1/31/10,"$175,359.68",fp06062,King County Dept. Natural Resources & Parks,Barton CSO Control Project Facilities Plan,"Development of the Facility Plan will result in selection of the most effective CSO control project alternative for this location, and the earliest possible control of overflows.  Regulatory requirements will be met, and 50-85% of solids and their associated chemicals and 95% of the pathogens currently discharged will be eliminated.",0,13070,0,ESA Listed Basin,Not Statewide,38718,36,39783,40909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Site Specific Fac. Plan,0,0,0,0,0,0,0,0,0,Project has Ecology Permit,WA-0029181,0,25,30,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
