"Location_ID","Location_Name","Well_Tag_ID","Well_Water_Level_Measuring_Point_or_TOC_ID","Well_Water_Level_Measuring_Point_or_TOC_Description","Well_Water_Level_Measuring_Point_or_TOC_Elevation","Well_Water_Level_Measuring_Point_or_TOC_Elevation_Units","Well_Water_Level_Measuring_Point_or_TOC_Datum","Well_Water_Level_Measuring_Point_or_TOC_Accuracy","Well_Water_Level_Measuring_Point_or_TOC_Collection_Method","Well_Water_Level_Measuring_Point_or_TOC_Height","Well_Water_Level_Measuring_Point_or_TOC_Height_Units","Well_Water_Level_Measuring_Point_or_TOC_Start_Date","Well_Water_Level_Measuring_Point_or_TOC_Elevation_NAVD88_FT","Record_Created_On","Well_Water_Level_Measuring_Point_or_TOC_Accuracy_NAVD88_FT"
"03005 MW-13D","HANSVILLE LF MW-13D","","TOC1","Top of casing at mark on connection cap",260.4,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional",,"",,260.4,,1
"03005 MW-5","HANSVILLE LF MW-5","","TOC1","Top of casing at mark on connection cap",366.9,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional",,"",,366.9,,1
"AO#DE6815-MW-52","AO#DE6815-MW-52","","MP1","Top of well casing",17.66,"FT","NGVD29","+/- 0.1 ft (0.03 m)","GPS consumer unit or unknown (code phase)",,"",,21.18,,8
"03005 MW-14","HANSVILLE LF MW-14","","TOC1","Top of casing at mark on connection cap",341.1,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional",,"",,341.1,,1
"AO#DE6815-MW-54","AO#DE6815-MW-54","","MP1","Top of well casing",10.9,"FT","NGVD29","+/- 0.1 ft (0.03 m)","GPS consumer unit or unknown (code phase)",,"",,14.43,,8
"03005 MW-6","HANSVILLE LF MW-6","","TOC1","Top of casing at mark on connection cap",332.7,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional",,"",,332.7,,1
"1490 MW-10","PURDY LF MW-10","","TOC1","Top of casing at mark on PVC well casing.",338.2,"FT","NAVD88","+/- 3 ft (1 m)","GPS consumer unit or unknown (code phase)",,"",,338.2,8/2/2016 4:32:17 PM,3
"03005 MW-12I","HANSVILLE LF MW-12I","","TOC1","Top of casing at mark on connection cap",248.1,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional",,"",,248.1,,1
"1490 MW-4","PURDY LF MW-4","","TOC1","Top of casing at mark on PVC well casing.",225.5,"FT","NAVD88","+/- 3 ft (1 m)","GPS consumer unit or unknown (code phase)",,"",,225.5,8/2/2016 4:32:17 PM,3
"AO#DE6815-MW-58","AO#DE6815-MW-58","","MP1","Top of well casing",10,"FT","NGVD29","+/- 0.1 ft (0.03 m)","GPS consumer unit or unknown (code phase)",,"",,13.53,,8
"1490 MW-7","PURDY LF MW-7","","TOC1","Top of casing at mark on PVC well casing.",313.5,"FT","NAVD88","+/- 10 ft (3 m)","GPS consumer unit or unknown (code phase)",,"",,313.5,8/2/2016 4:32:17 PM,4
"1490 MW-8","PURDY LF MW-8","","TOC1","Top of casing at mark on PVC well casing.",223,"FT","NAVD88","+/- 3 ft (1 m)","GPS consumer unit or unknown (code phase)",,"",,223,8/2/2016 4:32:17 PM,3
"AO#DE6815-PZ-4","AO#DE6815-PZ-4","","MP1","Top of well casing",8.8,"FT","NGVD29","+/- 0.1 ft (0.03 m)","GPS consumer unit or unknown (code phase)",,"",,12.33,,8
"AO#DE6815-MW-23","AO#DE6815-MW-23","","MP1","Top of well casing",12.9,"FT","NGVD29","+/- 0.1 ft (0.03 m)","GPS consumer unit or unknown (code phase)",,"",,16.43,,8
"AO#DE6815-PZ-9","AO#DE6815-PZ-9","","MP1","Top of well casing",9.16,"FT","NGVD29","+/- 0.1 ft (0.03 m)","GPS consumer unit or unknown (code phase)",,"",,12.69,,8
"AO#DE6815-MW-53","AO#DE6815-MW-53","","MP1","Top of well casing",9.4,"FT","NGVD29","+/- 0.1 ft (0.03 m)","GPS consumer unit or unknown (code phase)",,"",,12.93,,8
"AO#DE6815-MW-29","AO#DE6815-MW-29","","MP1","Top of well casing",11.38,"FT","NGVD29","+/- 0.1 ft (0.03 m)","GPS consumer unit or unknown (code phase)",,"",,14.91,,8
"AO#DE6815-MW-56","AO#DE6815-MW-56","","MP1","Top of well casing",10.6,"FT","NGVD29","+/- 0.1 ft (0.03 m)","GPS consumer unit or unknown (code phase)",,"",,14.13,,8
"AO#DE6815-MW-51","AO#DE6815-MW-51","","MP1","Top of well casing",16.92,"FT","NGVD29","+/- 0.1 ft (0.03 m)","GPS consumer unit or unknown (code phase)",,"",,20.45,,8
"AO#DE6815-MW-57","AO#DE6815-MW-57","","MP1","Top of well casing",10,"FT","NGVD29","+/- 0.1 ft (0.03 m)","GPS consumer unit or unknown (code phase)",,"",,13.53,,8
"AO#DE6815-MW-59","AO#DE6815-MW-59","","MP1","Top of well casing",11.5,"FT","NGVD29","+/- 0.1 ft (0.03 m)","GPS consumer unit or unknown (code phase)",,"",,15.03,,8
"AO#DE6815-PZ-10","AO#DE6815-PZ-10","","MP1","Top of well casing",10.26,"FT","NGVD29","+/- 0.1 ft (0.03 m)","GPS consumer unit or unknown (code phase)",,"",,13.79,,8
"AO#DE6815-PZ-5","AO#DE6815-PZ-5","","MP1","Top of well casing",9.76,"FT","NGVD29","+/- 0.1 ft (0.03 m)","GPS consumer unit or unknown (code phase)",,"",,13.28,,8
"AO#DE6815-PZ-2","AO#DE6815-PZ-2","","MP1","Top of well casing",10.7,"FT","NGVD29","+/- 0.1 ft (0.03 m)","GPS consumer unit or unknown (code phase)",,"",,14.23,,8
"AO#DE6815-PZ-6","AO#DE6815-PZ-6","","MP1","Top of well casing",15.23,"FT","NGVD29","+/- 0.1 ft (0.03 m)","GPS consumer unit or unknown (code phase)",,"",,18.75,,8
"AO#DE6815-PZ-3","AO#DE6815-PZ-3","","MP1","Top of well casing",10.58,"FT","NGVD29","+/- 0.1 ft (0.03 m)","GPS consumer unit or unknown (code phase)",,"",,14.11,,8
"AO#DE6815-PZ-7","AO#DE6815-PZ-7","","MP1","Top of well casing",20.41,"FT","NGVD29","+/- 0.1 ft (0.03 m)","GPS consumer unit or unknown (code phase)",,"",,23.93,,8
"AODE8462-MW-15R","AODE8462 MW-15R","","TOC1","Top of Casing,  north side",184.18,"FT","NAVD88","+/- 0.1 ft (0.03 m)","Survey - conventional",,"",,184.18,,1
