PrimarySponsorName,ProjectNumber,ProjectType,ProjectName,PrimaryProgramName,PrimaryProgramAmount,CurrentProgramIndexList,RCOAmount,SponsorMatchAmount,ProjectTotalAmount,PSARAmount,PSARLargeCapAmount,LeadEntityAmount,ActivityAmount,StateSalmon,FedSalmon,StateActivity,FedActivity,StateLE,FedLE,SnapshotLink,TotalFedFund,TotalStateFund
Skokomish Tribe,07-1631,Restoration,Skokomish Estuary Island Restoration,Puget Sound Acq. & Restoration,1160000,"98103, 98211, 98401, MATCH",2263397.15,2462027.01,4725424.16,1160000,,,,812397.15,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=07-1631,,812397.15
North Olympic Salmon Coalition,07-1632,Acquisition & Restoration,Salmon Estuary Wood Waste Removal and Restoration,Puget Sound Acq. & Restoration,484543.4,"98401, MATCH",484543.4,145353.04,629896.44,484543.4,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=07-1632,,
Hood Canal SEG,07-1636,Restoration,Duckabush Robinson Road Levee Removal,Puget Sound Acq. & Restoration,55477.08,"98401, MATCH",55477.08,111623.91,167100.99,55477.08,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=07-1636,,
Jefferson Co Cons Dist,07-1638,Restoration,Snow/Salmon Cr. 2007 Riparian Project,Puget Sound Acq. & Restoration,113618.84,"98401, MATCH",113618.84,22693.33,136312.17,113618.84,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=07-1638,,
Hood Canal SEG,07-1640,Acquisition,Quilcene Bay Conservation - Ward,Puget Sound Acq. & Restoration,255025,"98401, MATCH",255025,50000,305025,255025,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=07-1640,,
Mason Conservation Dist,07-1641,Restoration,Five Mile Creek LWD,Puget Sound Acq. & Restoration,7921.19,"98401, MATCH",7921.19,15704.01,23625.2,7921.19,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=07-1641,,
Skokomish Tribe,07-1644,Planning,"Skokomish River GI, Phase 2 and 3",Puget Sound Acq. & Restoration,596150,"98401, MATCH",596150,105000,701150,596150,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=07-1644,,
State Parks,07-1650,Acquisition,Port Townsend Bay Shoreline/Nearshore Acquisition,Puget Sound Acq. & Restoration,364081.53,"98401, MATCH",364081.53,2727007,3091088.53,364081.53,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=07-1650,,
Skokomish Tribe,07-1657,Restoration,SF Skokomish River LWD Enhancement Project Phase 2,Puget Sound Acq. & Restoration,334667.67,"98401, MATCH",334667.67,68800.69,403468.36,334667.67,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=07-1657,,
Skokomish Tribe,07-1659,Planning,Vance River Reach Assessment,Puget Sound Acq. & Restoration,123918.96,98401,123918.96,0,123918.96,123918.96,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=07-1659,,
Northwest Watershed Institute,07-1660,Acquisition & Restoration,Tarboo-Dabob Bay Acquisition and Restoration,Puget Sound Acq. & Restoration,723186,98401,723186,0,723186,723186,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=07-1660,,
Jefferson Land Trust,07-1717,Acquisition,Chimacum Creek S. Curve,Puget Sound Acq. & Restoration,96162.38,"98401, MATCH",96162.38,17040.7,113203.08,96162.38,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=07-1717,,
Wild Fish Conservancy,07-1915,Planning,Dosewallips & Duckabush ELJ Design,Puget Sound Acq. & Restoration,432470.08,98401,432470.08,0,432470.08,432470.08,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=07-1915,,
Wild Fish Conservancy,07-1916,Restoration,Lower Dosewallips Floodplain & Estuary Restoration,Puget Sound Acq. & Restoration,201986,"98401, MATCH",201986,473969.7,675955.7,201986,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=07-1916,,
Skokomish Tribe,07-1925,Planning,Skokomish Confluence Reach Restoration Design,Puget Sound Acq. & Restoration,445126,98401,445126,0,445126,445126,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=07-1925,,
Forterra,07-2021,Acquisition,Union River and Bear Creek Headwaters,Salmon State Projects,481529,"98103, 98401, MATCH",513580.9,97060,610640.9,32051.9,,,,481529,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=07-2021,,481529
Kitsap County of,07-1729,Planning,Chico Estuary Restoration--Survey Phase,Puget Sound Acq. & Restoration,116488.87,98401,116488.87,0,116488.87,116488.87,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=07-1729,,
Kitsap County Parks and Rec,07-1766,Acquisition,Pilot Point Fee Acquisition,Puget Sound Acq. & Restoration,960000,"98401, MATCH",960000,1040000,2000000,960000,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=07-1766,,
Kitsap County of,07-1843,Planning,Chico Estuary: Owen Project,Puget Sound Acq. & Restoration,15300,"98401, MATCH",15300,2700,18000,15300,,,,,,,,,,https://secure.rco.wa.gov/prism/search/projectsnapshot.aspx?ProjectNumber=07-1843,,
